evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,strategy,firm,firm_label,tier,policy,eval_pass_rate,eval_days_to_pass,eval_days_to_bust,strategy_pnl,avg_contracts,funded_med_net,funded_mean_net,funded_med_payouts,funded_survive_pct,max_micros,split
54,15,15,11,20880.320000000895,3240.0,17640.320000000895,1898.21090909099,2326.111999999895,909,0,0.0,19.070558231793708,673,2856,pct 0.75% 固定止损,tpt,Take Profit Trader (PRO),100k,accumulate,32.50728862973761,79.0,39.0,46379.159999999996,4.597903088693681,747.6479999999749,1266.603586206932,1.0,0.0,40,0.8
28,7,7,27,20854.56000000013,1680.0,19174.56000000013,772.3911111111157,2904.832000000123,917,0,0.0,13.176537262680647,465,3064,pct 0.75% 固定止损,tpt,Take Profit Trader (PRO),150k,immediate,36.08247422680412,140.0,85.0,46379.159999999996,4.597903088693681,2036.4799999997022,2437.420579310431,3.0,0.0,50,0.8
27,7,7,63,31053.371102293833,1620.0,29433.371102293833,492.9106524173624,1852.0100000001257,917,0,0.0,25.134599036554263,887,2642,pct 0.75% 固定止损,tpt,Take Profit Trader (PRO),150k,half_buffer,36.08247422680412,140.0,85.0,46379.159999999996,4.597903088693681,2036.4799999997022,2437.420579310431,3.0,0.0,50,0.8
27,7,7,14,26191.00800000117,1620.0,24571.00800000117,1870.7862857143693,2811.520000000112,943,0,0.0,20.289033720600738,716,2813,pct 0.75% 固定止损,tpt,Take Profit Trader (PRO),150k,accumulate,36.08247422680412,140.0,85.0,46379.159999999996,4.597903088693681,2036.4799999997022,2437.420579310431,3.0,0.0,50,0.8
37,15,15,32,29576.799999999756,6905.0,22671.799999999756,924.2749999999924,2546.1199999999953,1559,4,12.5,35.84584868234627,1265,2264,fixed N=2 移动止损,apex,Apex,50k,immediate,53.7542662116041,65.0,32.0,52562.279999999984,2.0,1088.7599999999948,2633.9707586206446,2.0,18.620689655172416,100,1.0
31,13,13,42,30710.890032100404,7205.0,23505.890032100404,731.211667430962,2000.0,1559,2,4.761904761904762,39.841314820062344,1406,2123,fixed N=2 移动止损,apex,Apex,50k,half_buffer,53.7542662116041,65.0,32.0,52562.279999999984,2.0,1088.7599999999948,2633.9707586206446,2.0,18.620689655172416,100,1.0
36,16,16,12,24000.0,6955.0,17045.0,2000.0,2000.0,1569,12,100.0,34.797393029186736,1228,2301,fixed N=2 移动止损,apex,Apex,50k,accumulate,53.7542662116041,65.0,32.0,52562.279999999984,2.0,1088.7599999999948,2633.9707586206446,2.0,18.620689655172416,100,1.0
28,9,9,14,11027.680000002962,4125.0,6902.680000002962,787.6914285716401,2214.7600000001257,1618,0,0.0,19.240578067441202,679,2850,fixed N=2 移动止损,apex,Apex,100k,immediate,42.05020920502092,114.0,48.0,52562.279999999984,2.0,1843.0800000006566,2838.0179310356125,3.0,20.0,140,1.0
29,10,10,15,7988.019375002288,4500.0,3488.019375002288,532.5346250001526,1848.2612500001342,1618,0,0.0,21.252479455936527,750,2779,fixed N=2 移动止损,apex,Apex,100k,half_buffer,42.05020920502092,114.0,48.0,52562.279999999984,2.0,1843.0800000006566,2838.0179310356125,3.0,20.0,140,1.0
30,9,9,7,14000.0,4450.0,9550.0,2000.0,2000.0,2017,7,100.0,20.714083309719467,731,2798,fixed N=2 移动止损,apex,Apex,100k,accumulate,42.05020920502092,114.0,48.0,52562.279999999984,2.0,1843.0800000006566,2838.0179310356125,3.0,20.0,140,1.0
18,5,5,8,3634.160000002361,3010.0,624.1600000023609,454.2700000002951,1083.4000000001397,2591,0,0.0,15.47180504392179,546,2983,fixed N=2 移动止损,apex,Apex,150k,immediate,49.152542372881356,181.0,77.0,52562.279999999984,2.0,2820.000000003318,3513.1776551738744,5.0,40.0,170,1.0
18,5,5,9,2644.2737500021613,3010.0,-365.72624999783875,293.8081944446846,797.5000000002619,2591,0,0.0,15.47180504392179,546,2983,fixed N=2 移动止损,apex,Apex,150k,half_buffer,49.152542372881356,181.0,77.0,52562.279999999984,2.0,2820.000000003318,3513.1776551738744,5.0,40.0,170,1.0
18,5,5,2,4000.0,2925.0,1075.0,2000.0,2000.0,2611,2,100.0,14.76338906205724,521,3008,fixed N=2 移动止损,apex,Apex,150k,accumulate,49.152542372881356,181.0,77.0,52562.279999999984,2.0,2820.000000003318,3513.1776551738744,5.0,40.0,170,1.0
45,10,10,24,18926.135999999904,3577.0,15349.135999999904,788.5889999999963,1800.0,881,3,12.5,14.281666194389345,504,3025,fixed N=2 移动止损,topstep,TopStep,50k,immediate,36.860670194003525,71.0,37.0,52562.279999999984,2.0,897.2639999999927,1081.9196689655,1.0,0.0,50,0.9
41,10,10,33,18796.16531249987,4116.0,14680.16531249987,569.5807670454504,1497.734999999998,881,0,0.0,22.04590535562482,778,2751,fixed N=2 移动止损,topstep,TopStep,50k,half_buffer,36.860670194003525,71.0,37.0,52562.279999999984,2.0,897.2639999999927,1081.9196689655,1.0,0.0,50,0.9
42,11,11,6,10800.0,3381.0,7419.0,1800.0,1800.0,917,6,100.0,12.978180787758571,458,3071,fixed N=2 移动止损,topstep,TopStep,50k,accumulate,36.860670194003525,71.0,37.0,52562.279999999984,2.0,897.2639999999927,1081.9196689655,1.0,0.0,50,0.9
31,10,10,22,15638.616000002085,2646.0,12992.616000002085,710.8461818182767,2122.3080000001005,1572,0,0.0,12.12808160952111,428,3101,fixed N=2 移动止损,topstep,TopStep,100k,immediate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2402.1720000001196,2536.260331035367,3.0,8.275862068965518,100,0.9
30,10,10,23,11063.887875001516,2793.0,8270.887875001516,481.0386032609355,1061.1540000000502,1572,0,0.0,13.913289883819779,491,3038,fixed N=2 移动止损,topstep,TopStep,100k,half_buffer,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2402.1720000001196,2536.260331035367,3.0,8.275862068965518,100,0.9
33,11,11,6,12545.460000000756,2793.0,9752.460000000756,2090.910000000126,2700.0,1588,1,16.666666666666668,11.107962595636158,392,3137,fixed N=2 移动止损,topstep,TopStep,100k,accumulate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2402.1720000001196,2536.260331035367,3.0,8.275862068965518,100,0.9
19,5,5,11,9163.332000001345,1960.0,7203.332000001345,833.0301818183042,2140.3080000001005,2502,0,0.0,10.371209974497024,366,3163,fixed N=2 移动止损,topstep,TopStep,150k,immediate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4678.452000000339,4469.072524139375,7.0,37.24137931034483,150,0.9
18,5,5,12,6361.07231250123,2009.0,4352.07231250123,530.0893593751025,1108.7415000001026,2502,0,0.0,11.646358741853216,411,3118,fixed N=2 移动止损,topstep,TopStep,150k,half_buffer,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4678.452000000339,4469.072524139375,7.0,37.24137931034483,150,0.9
18,5,5,4,7875.936000001238,1960.0,5915.936000001238,1968.9840000003096,2140.3080000001005,2585,0,0.0,11.334655709832814,400,3129,fixed N=2 移动止损,topstep,TopStep,150k,accumulate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,4678.452000000339,4469.072524139375,7.0,37.24137931034483,150,0.9
61,24,24,49,30581.207999999846,2745.0,27836.207999999846,624.1062857142825,2958.4799999999973,874,0,0.0,23.944460187021818,845,2684,fixed N=2 移动止损,lucid,Lucid (LucidPro),50k,immediate,44.59016393442623,53.0,34.5,52562.279999999984,2.0,1048.1399999999921,1400.430289655151,2.0,0.0,40,0.9
61,24,24,89,29278.13362866197,2745.0,26533.13362866197,328.96779358047155,1803.6719999999984,874,0,0.0,26.778124114480022,945,2584,fixed N=2 移动止损,lucid,Lucid (LucidPro),50k,half_buffer,44.59016393442623,53.0,34.5,52562.279999999984,2.0,1048.1399999999921,1400.430289655151,2.0,0.0,40,0.9
60,24,24,11,22842.97199999991,2700.0,20142.97199999991,2076.63381818181,2746.6919999999977,917,0,0.0,19.438934542363274,686,2843,fixed N=2 移动止损,lucid,Lucid (LucidPro),50k,accumulate,44.59016393442623,53.0,34.5,52562.279999999984,2.0,1048.1399999999921,1400.430289655151,2.0,0.0,40,0.9
31,10,10,24,13792.752000001754,1395.0,12397.752000001754,574.6980000000731,2303.244000000082,1569,0,0.0,13.856616605270615,489,3040,fixed N=2 移动止损,lucid,Lucid (LucidPro),100k,immediate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2763.684000000428,3243.2578758631103,6.0,15.172413793103448,60,0.9
31,11,11,42,11968.812492189276,1395.0,10573.812492189276,284.9717260045066,1070.1540000000502,1569,0,0.0,16.236894304335507,573,2956,fixed N=2 移动止损,lucid,Lucid (LucidPro),100k,half_buffer,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2763.684000000428,3243.2578758631103,6.0,15.172413793103448,60,0.9
33,11,11,6,12773.088000000795,1485.0,11288.088000000795,2128.8480000001323,2746.692000000057,1588,0,0.0,11.02295267781241,389,3140,fixed N=2 移动止损,lucid,Lucid (LucidPro),100k,accumulate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2763.684000000428,3243.2578758631103,6.0,15.172413793103448,60,0.9
19,5,5,12,9431.532000001345,855.0,8576.532000001345,785.9610000001122,2140.3080000001005,2502,0,0.0,10.31453669594786,364,3165,fixed N=2 移动止损,lucid,Lucid (LucidPro),150k,immediate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,5059.728000000509,4929.672910346263,9.0,32.41379310344827,100,0.9
19,5,5,26,7882.207325684872,855.0,7027.207325684872,303.1618202186489,1151.622000000041,2502,0,0.0,10.59790308869368,374,3155,fixed N=2 移动止损,lucid,Lucid (LucidPro),150k,half_buffer,49.48805460750853,181.0,73.0,52562.279999999984,2.0,5059.728000000509,4929.672910346263,9.0,32.41379310344827,100,0.9
18,5,5,4,7875.936000001238,810.0,7065.936000001238,1968.9840000003096,2140.3080000001005,2585,0,0.0,11.334655709832814,400,3129,fixed N=2 移动止损,lucid,Lucid (LucidPro),150k,accumulate,49.48805460750853,181.0,73.0,52562.279999999984,2.0,5059.728000000509,4929.672910346263,9.0,32.41379310344827,100,0.9
65,25,25,39,22726.495999999897,3900.0,18826.495999999897,582.7306666666641,1937.2479999999982,877,0,0.0,17.93709266081043,633,2896,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),50k,immediate,44.59016393442623,53.0,34.5,52562.279999999984,2.0,960.7359999999462,1155.1543172413606,2.0,0.0,20,0.8
62,23,23,57,21751.188062499867,3720.0,18031.188062499867,381.59979057017324,1256.456,877,0,0.0,24.822896004533863,876,2653,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),50k,half_buffer,44.59016393442623,53.0,34.5,52562.279999999984,2.0,960.7359999999462,1155.1543172413606,2.0,0.0,20,0.8
61,23,23,10,18818.047999999926,3660.0,15158.047999999926,1881.804799999993,2629.759999999998,917,0,0.0,17.342023236044206,612,2917,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),50k,accumulate,44.59016393442623,53.0,34.5,52562.279999999984,2.0,960.7359999999462,1155.1543172413606,2.0,0.0,20,0.8
33,11,11,24,12210.976000001514,1980.0,10230.976000001514,508.7906666667298,1582.3360000000337,1570,0,0.0,13.856616605270615,489,3040,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),100k,immediate,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2108.4160000010393,2685.0445241388293,5.0,15.862068965517242,40,0.8
31,10,10,28,8787.657625001379,1860.0,6927.657625001379,313.8449151786207,797.0020000000601,1570,0,0.0,13.37489373760272,472,3057,fixed N=2 移动止损,tpt,Take Profit Trader (PRO),100k,half_buffer,43.09623430962343,114.5,52.5,52562.279999999984,2.0,2108.4160000010393,2685.0445241388293,5.0,15.862068965517242,40,0.8
