evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,pct_time_funded,days_funded,days_in_eval,config,firm,policy,fees,eval_pass_rate
41,12,12,27,31961.420000000224,6875.0,25086.420000000224,1183.7562962963045,3335.380000000019,1454,36.34238971662285,1244,2179,walk-forward (out of sample),apex_50k,immediate,promo,51.42733564013841
41,12,12,27,31961.420000000224,12287.0,19674.420000000224,1183.7562962963045,3335.380000000019,1454,36.34238971662285,1244,2179,walk-forward (out of sample),apex_50k,immediate,list,51.42733564013841
36,10,10,39,30101.77809042001,7295.0,22806.77809042001,771.8404638569234,2322.3400000000547,1454,41.39643587496348,1417,2006,walk-forward (out of sample),apex_50k,half_buffer,promo,51.42733564013841
36,10,10,39,30101.77809042001,12047.0,18054.77809042001,771.8404638569234,2322.3400000000547,1454,41.39643587496348,1417,2006,walk-forward (out of sample),apex_50k,half_buffer,list,51.42733564013841
40,11,11,16,34763.34000000011,7435.0,27328.340000000113,2172.708750000007,4006.0800000002273,1463,40.46158340636868,1385,2038,walk-forward (out of sample),apex_50k,accumulate,promo,51.42733564013841
40,11,11,16,34763.34000000011,12715.0,22048.340000000113,2172.708750000007,4006.0800000002273,1463,40.46158340636868,1385,2038,walk-forward (out of sample),apex_50k,accumulate,list,51.42733564013841
64,21,21,24,25783.980000000105,4802.0,20981.980000000105,1074.3325000000043,2721.159999999996,1447,16.06777680397312,550,2873,walk-forward (out of sample),topstep_50k,immediate,promo,39.7796817625459
64,21,21,24,25783.980000000105,16170.0,9613.980000000105,1074.3325000000043,2721.159999999996,1447,16.06777680397312,550,2873,walk-forward (out of sample),topstep_50k,immediate,list,39.7796817625459
58,15,15,34,32542.279695312634,4949.0,27593.279695312634,957.1258733915481,2406.3750000000255,1447,22.348816827344436,765,2658,walk-forward (out of sample),topstep_50k,half_buffer,promo,39.7796817625459
58,15,15,34,32542.279695312634,16665.0,15877.279695312634,957.1258733915481,2406.3750000000255,1447,22.348816827344436,765,2658,walk-forward (out of sample),topstep_50k,half_buffer,list,39.7796817625459
59,18,18,9,20238.440000000068,4508.0,15730.440000000068,2248.7155555555632,2588.1000000000204,1459,14.957639497516798,512,2911,walk-forward (out of sample),topstep_50k,accumulate,promo,39.7796817625459
59,18,18,9,20238.440000000068,15180.0,5058.440000000068,2248.7155555555632,2588.1000000000204,1459,14.957639497516798,512,2911,walk-forward (out of sample),topstep_50k,accumulate,list,39.7796817625459
31,15,15,33,28538.799999999763,6440.0,22098.799999999763,864.812121212114,2546.1199999999953,213,56.0202205882353,1219,957,holdout: fixed 2 (out of sample),apex_50k,immediate,promo,52.026082906381
31,15,15,33,28538.799999999763,10532.0,18006.799999999763,864.812121212114,2546.1199999999953,213,56.0202205882353,1219,957,holdout: fixed 2 (out of sample),apex_50k,immediate,list,52.026082906381
25,13,13,42,29584.529786319494,6825.0,22759.529786319494,704.3935663409403,2000.0,213,62.408088235294116,1358,818,holdout: fixed 2 (out of sample),apex_50k,half_buffer,promo,52.026082906381
25,13,13,42,29584.529786319494,10125.0,19459.529786319494,704.3935663409403,2000.0,213,62.408088235294116,1358,818,holdout: fixed 2 (out of sample),apex_50k,half_buffer,list,52.026082906381
28,14,14,14,28928.679999999855,6845.0,22083.679999999855,2066.334285714275,2284.759999999893,235,60.11029411764706,1308,868,holdout: fixed 2 (out of sample),apex_50k,accumulate,promo,52.026082906381
28,14,14,14,28928.679999999855,10541.0,18387.679999999855,2066.334285714275,2284.759999999893,235,60.11029411764706,1308,868,holdout: fixed 2 (out of sample),apex_50k,accumulate,list,52.026082906381
56,19,19,33,37142.59999999985,4655.0,32487.599999999853,1125.533333333329,3802.239999999998,192,29.27389705882353,637,1539,holdout: fixed 2 (out of sample),topstep_50k,immediate,promo,47.072490706319705
56,19,19,33,37142.59999999985,15675.0,21467.599999999853,1125.533333333329,3802.239999999998,192,29.27389705882353,637,1539,holdout: fixed 2 (out of sample),topstep_50k,immediate,list,47.072490706319705
50,18,18,40,34303.03156249984,4851.0,29452.03156249984,857.575789062496,2248.6937499999985,192,39.0625,850,1326,holdout: fixed 2 (out of sample),topstep_50k,half_buffer,promo,47.072490706319705
50,18,18,40,34303.03156249984,16335.0,17968.03156249984,857.575789062496,2248.6937499999985,192,39.0625,850,1326,holdout: fixed 2 (out of sample),topstep_50k,half_buffer,list,47.072490706319705
53,22,22,10,23453.479999999916,4508.0,18945.479999999916,2345.3479999999918,3051.8799999999974,205,27.573529411764707,600,1576,holdout: fixed 2 (out of sample),topstep_50k,accumulate,promo,47.072490706319705
53,22,22,10,23453.479999999916,15180.0,8273.479999999916,2345.3479999999918,3051.8799999999974,205,27.573529411764707,600,1576,holdout: fixed 2 (out of sample),topstep_50k,accumulate,list,47.072490706319705
