session_date,direction,entry,exit,stop_pts,contracts,pnl,exit_reason,bars_held
2025-08-22,short,23233.25,23349.75,116.25,2,-468.68,stop,26
2025-08-25,short,23469.5,23587.0,117.25,2,-472.68,stop,97
2025-08-26,long,23502.75,23569.75,117.5,2,265.32,time,360
2025-08-27,short,23554.25,23605.0,117.75,2,-205.68,time,360
2025-08-28,long,23729.0,23610.0,118.75,2,-478.68,stop,16
2025-08-29,short,23638.0,23460.25,118.25,2,708.32,time,360
2025-09-02,short,23081.5,23197.25,115.5,2,-465.68,stop,14
2025-09-03,short,23397.5,23514.75,117.0,2,-471.68,stop,69
2025-09-04,long,23535.25,23417.25,117.75,2,-474.68,stop,41
2025-09-05,short,23847.25,23664.25,119.25,2,729.32,time,360
2025-09-08,long,23820.25,23770.75,119.0,2,-200.68,time,360
2025-09-09,long,23843.0,23858.5,119.25,2,59.32,time,360
2025-09-10,short,23962.5,23829.75,119.75,2,528.32,time,360
2025-09-11,long,23985.25,24035.75,120.0,2,199.32,time,360
2025-09-12,short,24034.25,24154.75,120.25,2,-484.68,stop,318
2025-09-15,long,24201.75,24277.0,121.0,2,298.32,time,360
2025-09-16,short,24326.0,24298.0,121.75,2,109.32,time,360
2025-09-17,short,24260.75,24250.5,121.25,2,38.32,time,360
2025-09-18,long,24698.5,24716.75,123.5,2,70.32,time,360
2025-09-19,long,24752.75,24842.75,123.75,2,357.32,time,360
2025-09-22,long,24850.25,25010.75,124.25,2,639.32,time,360
2025-09-23,short,24992.0,24816.5,125.0,2,699.32,time,360
2025-09-24,short,24840.5,24731.5,124.25,2,433.32,time,360
2025-09-25,short,24518.5,24641.25,122.5,2,-493.68,stop,50
2025-09-26,long,24693.5,24569.75,123.5,2,-497.68,stop,50
2025-09-29,short,24871.5,24810.75,124.25,2,240.32,time,360
2025-09-30,short,24762.25,24871.5,123.75,2,-439.68,time,360
2025-10-01,long,24816.25,25032.25,124.0,2,861.32,time,360
2025-10-02,short,25116.75,25121.75,125.5,1,-11.34,time,360
2025-10-03,long,25145.5,25019.5,125.75,1,-253.34,stop,236
2025-10-06,short,25161.5,25223.25,125.75,1,-124.84,time,360
2025-10-07,long,25239.0,25112.5,126.25,1,-254.34,stop,92
2025-10-08,long,25123.75,25312.0,125.5,1,375.16,time,360
2025-10-09,short,25306.5,25267.5,126.5,1,76.66,time,360
2025-10-10,long,25328.5,25201.5,126.75,1,-255.34,stop,84
2025-10-13,short,24759.25,24883.25,123.75,2,-498.68,stop,24
2025-10-14,short,24561.5,24684.5,122.75,2,-494.68,stop,49
2025-10-15,short,24960.75,25085.75,124.75,2,-502.68,stop,33
2025-10-16,long,25090.0,24964.25,125.5,1,-252.84,stop,135
2025-10-17,long,24779.25,25005.75,124.0,2,903.32,time,360
2025-10-20,long,25186.25,25319.5,126.0,1,265.16,time,360
2025-10-21,short,25280.5,25305.5,126.5,1,-51.34,time,360
2025-10-22,short,25184.25,25023.5,126.0,1,320.16,time,360
2025-10-23,long,25031.75,25268.0,125.25,1,471.16,time,360
2025-10-24,long,25490.25,25553.0,127.5,1,124.16,time,360
2025-10-27,short,25823.0,25930.5,129.0,1,-216.34,time,360
2025-10-28,long,26070.5,26225.0,130.25,1,307.66,time,360
2025-10-29,long,26278.25,26146.5,131.5,1,-264.84,stop,302
2025-10-30,short,26043.5,26174.0,130.25,1,-262.34,stop,26
2025-10-31,short,26159.5,26116.5,130.75,1,84.66,time,360
2025-11-03,long,26235.0,26103.5,131.25,1,-264.34,stop,27
2025-11-04,short,25677.5,25806.25,128.5,1,-258.84,stop,17
2025-11-05,short,25501.25,25629.0,127.5,1,-256.84,stop,17
2025-11-06,short,25645.25,25363.25,128.25,1,562.66,time,360
2025-11-07,short,25058.25,25079.75,125.25,1,-44.34,time,360
2025-11-10,long,25570.75,25708.0,127.75,1,273.16,time,360
2025-11-11,long,25617.5,25489.25,128.0,1,-257.84,stop,81
2025-11-12,short,25678.25,25633.75,128.5,1,87.66,time,360
2025-11-13,short,25434.25,25093.5,127.25,1,680.16,time,360
2025-11-14,short,24643.25,24766.75,123.25,2,-496.68,stop,2
2025-11-17,long,25094.75,24969.0,125.5,1,-252.84,stop,101
2025-11-18,long,24743.25,24619.25,123.75,2,-498.68,stop,15
2025-11-19,short,24631.25,24754.75,123.25,2,-496.68,stop,10
2025-11-20,short,25189.0,24250.0,126.0,1,1876.66,time,360
2025-11-21,long,24228.75,24107.25,121.25,2,-488.68,stop,12
2025-11-24,long,24682.25,24943.75,123.5,2,1043.32,time,360
2025-11-25,short,24853.0,24977.5,124.25,2,-500.68,stop,167
2025-11-26,long,25240.75,25339.25,126.25,1,195.66,time,360
2025-11-28,long,25396.75,25484.25,127.0,1,173.66,session_end,220
2025-12-01,long,25299.75,25395.25,126.5,1,189.66,time,360
2025-12-02,long,25526.25,25634.75,127.75,1,215.66,time,360
2025-12-03,short,25473.0,25600.5,127.25,1,-256.34,stop,63
2025-12-04,short,25566.25,25577.25,127.75,1,-23.34,time,360
2025-12-05,long,25758.5,25726.25,128.75,1,-65.84,time,360
2025-12-08,long,25831.25,25701.75,129.25,1,-260.34,stop,50
2025-12-09,short,25580.25,25708.5,128.0,1,-257.84,stop,102
2025-12-10,short,25615.5,25743.75,128.0,1,-257.84,stop,300
2025-12-11,short,25573.25,25701.25,127.75,1,-257.34,stop,292
2025-12-12,short,25574.25,25199.0,127.75,1,749.16,time,360
2025-12-15,short,25316.25,25108.5,126.5,1,414.16,time,360
2025-12-16,long,25040.0,25156.25,125.25,1,231.16,time,360
2025-12-17,short,25399.75,24954.5,127.0,1,889.16,time,360
2025-12-18,long,25270.5,25318.25,126.25,1,94.16,time,360
2025-12-19,long,25453.25,25578.0,127.25,1,248.16,time,360
2025-12-22,short,25706.25,25695.75,128.5,1,19.66,time,360
2025-12-23,long,25706.0,25798.25,128.5,1,183.16,time,360
2025-12-24,long,25819.5,25864.5,129.0,1,88.66,session_end,220
2025-12-26,short,25899.0,25873.25,129.5,1,50.16,time,360
2025-12-29,long,25720.75,25751.5,128.5,1,60.16,time,360
2025-12-30,long,25720.75,25710.5,128.5,1,-21.84,time,360
2025-12-31,short,25666.0,25499.5,128.25,1,331.66,time,360
2026-01-02,short,25678.5,25417.0,128.5,1,521.66,time,360
2026-01-05,short,25588.25,25596.0,128.0,1,-16.84,time,360
2026-01-06,long,25648.5,25813.75,128.25,1,329.16,time,360
2026-01-07,long,25822.25,25838.5,129.0,1,31.16,time,360
2026-01-08,short,25705.75,25693.0,128.5,1,24.16,time,360
2026-01-09,short,25675.25,25804.0,128.5,1,-258.84,stop,48
2026-01-12,long,25855.75,25989.0,129.25,1,265.16,time,360
2026-01-13,long,25984.0,25853.75,130.0,1,-261.84,stop,47
2026-01-14,long,25780.0,25650.75,129.0,1,-259.84,stop,8
2026-01-15,short,25888.5,25708.0,129.5,1,359.66,time,360
2026-01-16,long,25865.25,25735.75,129.25,1,-260.34,stop,25
2026-01-20,long,25347.25,25220.25,126.75,1,-255.34,stop,239
2026-01-21,long,25163.25,25498.75,125.75,1,669.66,time,360
2026-01-22,short,25666.25,25600.75,128.25,1,129.66,time,360
2026-01-23,long,25592.0,25708.25,128.0,1,231.16,time,360
2026-01-26,long,25770.25,25884.5,128.75,1,227.16,time,360
2026-01-27,short,25961.5,26091.5,129.75,1,-261.34,stop,64
2026-01-28,short,26249.0,26153.25,131.25,1,190.16,time,360
2026-01-29,short,26097.0,25875.5,130.5,1,441.66,time,360
2026-01-30,long,25890.25,25760.5,129.5,1,-260.84,stop,107
2026-02-02,long,25637.75,25858.75,128.25,1,440.66,time,360
2026-02-03,short,25875.0,25396.75,129.5,1,955.16,time,360
2026-02-04,short,25286.75,25065.75,126.5,1,440.66,time,360
2026-02-05,long,24813.25,24689.0,124.0,2,-499.68,stop,27
2026-02-06,long,24857.0,25103.75,124.25,2,984.32,time,360
2026-02-09,short,25044.5,25170.0,125.25,1,-252.34,stop,12
2026-02-10,short,25362.0,25245.5,126.75,1,231.66,time,360
2026-02-11,short,25385.0,25278.5,127.0,1,211.66,time,360
2026-02-12,short,25358.0,24805.0,126.75,1,1104.66,time,360
2026-02-13,short,24719.0,24842.75,123.5,2,-497.68,stop,14
2026-02-17,long,24758.5,24634.5,123.75,2,-498.68,stop,13
2026-02-18,short,24767.5,24891.5,123.75,2,-498.68,stop,20
2026-02-19,short,24833.5,24958.0,124.25,2,-500.68,stop,106
2026-02-20,long,24805.5,25026.0,124.0,2,879.32,time,360
2026-02-23,long,25005.25,24880.0,125.0,2,-503.68,stop,10
2026-02-24,short,24738.75,24862.75,123.75,2,-498.68,stop,7
2026-02-25,long,25223.25,25356.5,126.0,1,265.16,time,360
2026-02-26,short,25271.5,25069.25,126.25,1,403.16,time,360
2026-02-27,long,24880.75,24960.0,124.5,2,314.32,time,360
2026-03-02,long,24833.0,25004.75,124.25,2,684.32,time,360
2026-03-03,long,24528.75,24405.75,122.75,2,-494.68,stop,47
2026-03-04,long,24964.75,24839.75,124.75,2,-502.68,stop,11
2026-03-05,long,25094.0,24968.25,125.5,1,-252.84,stop,56
2026-03-06,long,24706.0,24638.25,123.5,2,-273.68,time,360
2026-03-09,long,24477.5,24354.75,122.5,2,-493.68,stop,8
2026-03-10,long,25025.25,24900.0,125.0,2,-503.68,stop,35
2026-03-11,long,25076.75,24951.0,125.5,1,-252.84,stop,104
2026-03-12,long,24814.25,24690.0,124.0,2,-499.68,stop,13
2026-03-13,short,24660.25,24783.75,123.25,2,-496.68,stop,11
2026-03-16,long,24691.5,24676.5,123.5,2,-62.68,time,360
2026-03-17,long,24838.25,24784.0,124.25,2,-219.68,time,360
2026-03-18,long,24944.75,24819.75,124.75,2,-502.68,stop,52
2026-03-19,short,24357.0,24479.0,121.75,2,-490.68,stop,16
2026-03-20,short,24400.25,24031.0,122.0,2,1474.32,time,360
2026-03-23,short,24477.0,24599.75,122.5,2,-493.68,stop,19
2026-03-24,long,24304.5,24182.75,121.5,2,-489.68,stop,6
2026-03-25,long,24466.25,24343.75,122.25,2,-492.68,stop,26
2026-03-26,short,24122.5,23822.0,120.5,2,1199.32,time,360
2026-03-27,short,23563.75,23347.75,117.75,2,861.32,time,360
2026-03-30,short,23463.5,23029.75,117.25,2,1732.32,time,360
2026-03-31,long,23458.25,23885.25,117.25,2,1705.32,time,360
2026-04-01,long,24157.75,24220.0,120.75,2,246.32,time,360
2026-04-02,long,23789.25,24144.5,119.0,2,1418.32,time,360
2026-04-06,long,24355.0,24233.0,121.75,2,-490.68,stop,218
2026-04-07,short,24220.5,24211.5,121.0,2,33.32,time,360
2026-04-08,short,25163.25,24994.0,125.75,1,337.16,time,360
2026-04-09,short,25027.75,25153.25,125.25,1,-252.34,stop,119
2026-04-10,long,25336.25,25282.25,126.75,1,-109.34,time,360
2026-04-13,long,25221.25,25473.25,126.0,1,502.66,time,360
2026-04-14,long,25718.75,25971.0,128.5,1,503.16,time,360
2026-04-15,long,26019.75,26349.25,130.0,1,657.66,time,360
2026-04-16,short,26393.75,26526.0,132.0,1,-265.84,stop,122
2026-04-17,short,26671.75,26805.25,133.25,1,-268.34,stop,65
2026-04-20,long,26812.5,26678.25,134.0,1,-269.84,stop,77
2026-04-21,short,26758.75,26768.0,133.75,1,-19.84,time,360
2026-04-22,short,26824.5,26958.75,134.0,1,-269.84,stop,46
2026-04-23,short,27004.0,27139.25,135.0,1,-271.84,stop,105
2026-04-24,short,27220.5,27356.75,136.0,1,-273.84,stop,130
2026-04-27,short,27368.75,27430.0,136.75,1,-123.84,time,360
2026-04-28,long,27139.75,27173.5,135.75,1,66.16,time,360
2026-04-29,short,27146.75,27282.75,135.75,1,-273.34,stop,58
2026-04-30,short,27345.0,27482.0,136.75,1,-275.34,stop,236
2026-05-01,long,27736.5,27883.75,138.75,1,293.16,time,360
2026-05-04,short,27827.0,27787.75,139.25,1,77.16,time,360
2026-05-05,long,28025.5,28161.25,140.25,1,270.16,time,360
2026-05-06,long,28443.75,28672.0,142.25,1,455.16,time,360
2026-05-07,long,28761.0,28617.0,143.75,1,-289.34,stop,226
2026-05-08,long,28963.75,29276.25,144.75,1,623.66,time,360
2026-05-11,long,29427.0,29279.5,147.25,1,-296.34,stop,55
2026-05-12,short,29197.5,29103.5,146.0,1,186.66,time,360
2026-05-13,short,29257.25,29403.75,146.25,1,-294.34,stop,169
2026-05-14,long,29550.25,29710.0,147.75,1,318.16,time,360
2026-05-15,long,29254.25,29107.75,146.25,1,-294.34,stop,12
2026-05-18,short,29288.0,28952.25,146.5,1,670.16,time,360
2026-05-19,long,28958.0,28813.0,144.75,1,-291.34,stop,33
2026-05-20,long,29135.75,29339.5,145.75,1,406.16,time,360
2026-05-21,long,29264.75,29408.75,146.25,1,286.66,time,360
2026-05-22,long,29649.25,29500.75,148.25,1,-298.34,stop,49
2026-05-26,short,29852.5,30002.0,149.25,1,-300.34,stop,25
2026-05-27,short,30140.5,30041.25,150.75,1,197.16,time,360
2026-05-28,short,30010.5,30160.75,150.0,1,-301.84,stop,39
2026-05-29,long,30375.25,30402.5,152.0,1,53.16,time,360
2026-06-01,short,30380.25,30532.5,152.0,1,-305.84,stop,116
2026-06-02,short,30476.5,30629.25,152.5,1,-306.84,stop,38
2026-06-03,short,30714.0,30648.5,153.5,1,129.66,time,360
2026-06-04,long,30343.75,30191.75,151.75,1,-305.34,stop,11
2026-06-05,short,30044.0,29113.75,150.25,1,1859.16,time,360
2026-06-08,short,29417.25,29564.5,147.0,1,-295.84,stop,61
2026-06-09,short,29649.5,29798.0,148.25,1,-298.34,stop,12
2026-06-10,short,28780.0,28924.25,144.0,1,-289.84,stop,2
2026-06-11,short,28686.25,28830.0,143.5,1,-288.84,stop,12
2026-06-12,short,29338.75,29485.75,146.75,1,-295.34,stop,29
2026-06-15,long,30358.0,30537.25,151.75,1,357.16,time,360
2026-06-16,short,30482.75,30107.5,152.5,1,749.16,time,360
2026-06-17,short,30441.0,30060.5,152.25,1,759.66,time,360
2026-06-18,short,30485.75,30638.5,152.5,1,-306.84,stop,50
2026-06-22,short,30783.5,30937.75,154.0,1,-309.84,stop,26
2026-06-23,long,29768.5,29619.5,148.75,1,-299.34,stop,311
2026-06-24,long,29808.5,29659.25,149.0,1,-299.84,stop,7
2026-06-25,short,30057.5,29667.75,150.25,1,778.16,time,360
2026-06-26,short,29231.5,29378.0,146.25,1,-294.34,stop,22
2026-06-29,long,29760.5,29611.5,148.75,1,-299.34,stop,23
2026-06-30,long,30179.25,30569.25,151.0,1,778.66,time,360
2026-07-01,short,30117.25,30268.0,150.5,1,-302.84,stop,25
2026-07-02,short,30135.0,30286.0,150.75,1,-303.34,stop,28
2026-07-06,long,29926.75,30026.5,149.75,1,198.16,time,360
2026-07-07,short,29532.25,29369.5,147.75,1,324.16,time,360
2026-07-08,long,29303.75,29157.0,146.5,1,-294.84,stop,76
2026-07-09,long,29779.0,29629.75,149.0,1,-299.84,stop,47
2026-07-10,long,29903.0,29753.25,149.5,1,-300.84,stop,59
2026-07-13,short,29644.5,29437.5,148.25,1,412.66,time,360
2026-07-14,short,29694.25,29843.0,148.5,1,-298.84,stop,90
2026-07-15,long,29953.25,29803.25,149.75,1,-301.34,stop,12
2026-07-16,short,29433.25,29149.75,147.25,1,565.66,time,360
2026-07-17,short,28553.0,28696.0,142.75,1,-287.34,stop,26
2026-07-20,long,29136.75,28990.75,145.75,1,-293.34,stop,24
2026-07-21,short,29147.0,29293.0,145.75,1,-293.34,stop,98
2026-07-22,long,29151.25,29228.75,145.75,1,153.66,time,360
2026-07-23,short,28759.5,28560.5,143.75,1,396.66,time,360
2026-07-24,long,28603.5,28460.25,143.0,1,-287.84,stop,8
2026-07-27,short,28536.25,28233.25,142.75,1,604.66,time,360
2026-07-28,short,27876.75,28016.5,139.5,1,-280.84,stop,124
2026-07-29,long,27957.5,27817.5,139.75,1,-281.34,stop,13
2026-07-30,long,27871.5,28242.5,139.25,1,740.66,time,360
2026-07-31,long,28682.5,28538.75,143.5,1,-288.84,stop,6
2026-08-03,short,28380.5,28522.75,142.0,1,-285.84,stop,3
2026-08-04,long,29383.0,29912.75,147.0,1,1058.16,time,360
2026-08-05,long,30013.25,29863.0,150.0,1,-301.84,stop,57
2026-08-06,short,29339.75,29486.75,146.75,1,-295.34,stop,12
2026-08-07,long,29805.0,29655.75,149.0,1,-299.84,stop,23
2026-08-10,short,29740.5,29889.5,148.75,1,-299.34,stop,37
2026-08-11,short,29737.25,29637.0,148.75,1,199.16,time,360
2026-08-12,short,29878.25,29859.0,149.5,1,37.16,time,360
2026-08-13,long,29945.75,30216.0,149.75,1,539.16,time,360
