evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,capped_payouts,capped_pct,pct_time_funded,days_funded,days_in_eval,config,tier,risk_basis,path,risk_dollars,losses_to_bust,max_micros,avg_contracts,strategy_pnl,eval_pass_rate
153,8,8,7,8010.917999999998,8134.0,-123.08200000000215,1144.4168571428568,1800.0,1698.0,2,28.571428571428573,5.525644658543497,195,3334,ATR k=1 (原主口径),50k,fixed_dollar,standard,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
151,8,8,7,5986.368000000004,7889.0,-1902.631999999996,855.1954285714291,1554.0299999999975,1699.0,0,0.0,4.420515726834798,156,3373,ATR k=1 (原主口径),50k,fixed_dollar,consistency,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
153,8,8,7,8010.917999999998,8134.0,-123.08200000000215,1144.4168571428568,1800.0,1698.0,2,28.571428571428573,5.525644658543497,195,3334,ATR k=1 (原主口径),50k,pct_balance,standard,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
151,8,8,7,5986.368000000004,7889.0,-1902.631999999996,855.1954285714291,1554.0299999999975,1699.0,0,0.0,4.420515726834798,156,3373,ATR k=1 (原主口径),50k,pct_balance,consistency,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
153,8,8,7,8010.917999999998,8134.0,-123.08200000000215,1144.4168571428568,1800.0,1698.0,2,28.571428571428573,5.525644658543497,195,3334,ATR k=1 (原主口径),50k,pct_mll,standard,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
151,8,8,7,5986.368000000004,7889.0,-1902.631999999996,855.1954285714291,1554.0299999999975,1699.0,0,0.0,4.420515726834798,156,3373,ATR k=1 (原主口径),50k,pct_mll,consistency,500.0,4.0,50,31.548597336355908,-125414.40000000001,6.106651376146789
139,5,5,3,4574.592000000031,7203.0,-2628.4079999999694,1524.8640000000103,2387.0880000000066,2301.0,0,0.0,3.7404363842448287,132,3397,ATR k=1 (原主口径),100k,fixed_dollar,standard,500.0,6.0,100,45.78379144233494,-204887.14000000004,6.6051341217190656
139,5,5,3,5438.376000000039,7203.0,-1764.6239999999607,1812.792000000013,3757.35600000001,2301.0,0,0.0,3.5987531878719183,127,3402,ATR k=1 (原主口径),100k,fixed_dollar,consistency,500.0,6.0,100,45.78379144233494,-204887.14000000004,6.6051341217190656
208,5,5,0,0.0,10437.0,-10437.0,0.0,0.0,,0,0.0,1.1901388495324454,42,3487,ATR k=1 (原主口径),100k,pct_balance,standard,1000.0,3.0,100,63.37517710399547,-251097.84000000003,3.658188053729637
214,6,6,3,11205.899999999987,10780.0,425.8999999999869,3735.2999999999956,5400.0,1706.0,1,33.333333333333336,1.4735052422782657,52,3477,ATR k=1 (原主口径),100k,pct_balance,consistency,1000.0,3.0,100,63.37517710399547,-251097.84000000003,3.658188053729637
177,8,8,3,6039.017999999991,9163.0,-3123.982000000009,2013.005999999997,2700.0,2480.0,2,66.66666666666667,3.6270898271465004,128,3401,ATR k=1 (原主口径),100k,pct_mll,standard,750.0,4.0,100,56.31482006234061,-234028.4,5.472779369627507
177,8,8,2,6039.017999999991,9114.0,-3074.982000000009,3019.5089999999955,5400.0,2480.0,1,50.0,3.230376877302352,114,3415,ATR k=1 (原主口径),100k,pct_mll,consistency,750.0,4.0,100,56.31482006234061,-234028.4,5.472779369627507
86,2,2,3,1640.9520000000252,4508.0,-2867.0479999999748,546.9840000000085,807.4080000000221,2301.0,0,0.0,2.8620005667327857,101,3428,ATR k=1 (原主口径),150k,fixed_dollar,standard,500.0,9.0,150,50.69651459336923,-237851.72,4.2540792540792545
86,2,2,3,1476.9,4508.0,-3031.1,492.3,807.4080000000221,2301.0,0,0.0,2.8620005667327857,101,3428,ATR k=1 (原主口径),150k,fixed_dollar,consistency,500.0,9.0,150,50.69651459336923,-237851.72,4.2540792540792545
207,5,5,0,0.0,10388.0,-10388.0,0.0,0.0,,0,0.0,1.1901388495324454,42,3487,ATR k=1 (原主口径),150k,pct_balance,standard,1500.0,3.0,150,95.21535845848682,-377173.10000000003,3.659233847913093
209,6,6,3,14058.702000000025,10535.0,3523.702000000025,4686.234000000009,5400.0,1706.0,2,66.66666666666667,1.586851799376594,56,3473,ATR k=1 (原主口径),150k,pct_balance,consistency,1500.0,3.0,150,95.21535845848682,-377173.10000000003,3.659233847913093
176,8,8,3,9953.118000000042,9065.0,888.1180000000422,3317.7060000000142,4500.0,2480.0,2,66.66666666666667,3.6270898271465004,128,3401,ATR k=1 (原主口径),150k,pct_mll,standard,1125.0,4.0,150,84.64862567299518,-352443.0,5.557146949298195
177,8,8,3,10151.802,9163.0,988.8019999999997,3383.9339999999997,5400.0,2480.0,1,33.333333333333336,3.7971096627939924,134,3395,ATR k=1 (原主口径),150k,pct_mll,consistency,1125.0,4.0,150,84.64862567299518,-352443.0,5.557146949298195
