accounts,payouts,withdrawn_gross,withdrawn,fees_paid,net_to_trader,capped_payouts,config,tier,risk_basis,path
5,15,25414.40000000017,22872.960000000152,36015.0,-13142.039999999848,0,ATR k=1 (原主口径),100k,fixed_dollar,standard
10,30,50828.80000000034,45745.920000000304,72030.0,-26284.079999999696,0,ATR k=1 (原主口径),100k,fixed_dollar,standard
1,3,6042.640000000043,5438.376000000039,7203.0,-1764.6239999999607,0,ATR k=1 (原主口径),100k,fixed_dollar,consistency
2,6,12085.280000000086,10876.752000000079,14406.0,-3529.2479999999214,0,ATR k=1 (原主口径),100k,fixed_dollar,consistency
3,9,18127.92000000013,16315.128000000117,21609.0,-5293.871999999883,0,ATR k=1 (原主口径),100k,fixed_dollar,consistency
5,15,30213.200000000215,27191.880000000197,36015.0,-8823.119999999803,0,ATR k=1 (原主口径),100k,fixed_dollar,consistency
10,30,60426.40000000043,54383.760000000395,72030.0,-17646.239999999605,0,ATR k=1 (原主口径),100k,fixed_dollar,consistency
1,0,0.0,0.0,10437.0,-10437.0,0,ATR k=1 (原主口径),100k,pct_balance,standard
2,0,0.0,0.0,20874.0,-20874.0,0,ATR k=1 (原主口径),100k,pct_balance,standard
3,0,0.0,0.0,31311.0,-31311.0,0,ATR k=1 (原主口径),100k,pct_balance,standard
5,0,0.0,0.0,52185.0,-52185.0,0,ATR k=1 (原主口径),100k,pct_balance,standard
10,0,0.0,0.0,104370.0,-104370.0,0,ATR k=1 (原主口径),100k,pct_balance,standard
1,3,12450.999999999985,11205.899999999987,10780.0,425.8999999999869,1,ATR k=1 (原主口径),100k,pct_balance,consistency
2,6,24901.99999999997,22411.799999999974,21560.0,851.7999999999738,2,ATR k=1 (原主口径),100k,pct_balance,consistency
3,9,37352.999999999956,33617.69999999996,32340.0,1277.6999999999607,3,ATR k=1 (原主口径),100k,pct_balance,consistency
5,15,62254.99999999993,56029.499999999935,53900.0,2129.4999999999345,5,ATR k=1 (原主口径),100k,pct_balance,consistency
10,30,124509.99999999985,112058.99999999987,107800.0,4258.999999999869,10,ATR k=1 (原主口径),100k,pct_balance,consistency
1,3,6710.0199999999895,6039.017999999991,9163.0,-3123.982000000009,2,ATR k=1 (原主口径),100k,pct_mll,standard
2,6,13420.039999999979,12078.035999999982,18326.0,-6247.964000000018,4,ATR k=1 (原主口径),100k,pct_mll,standard
3,9,20130.05999999997,18117.053999999975,27489.0,-9371.946000000025,6,ATR k=1 (原主口径),100k,pct_mll,standard
5,15,33550.09999999995,30195.089999999953,45815.0,-15619.910000000047,10,ATR k=1 (原主口径),100k,pct_mll,standard
10,30,67100.1999999999,60390.179999999906,91630.0,-31239.820000000094,20,ATR k=1 (原主口径),100k,pct_mll,standard
1,2,6710.0199999999895,6039.017999999991,9114.0,-3074.982000000009,1,ATR k=1 (原主口径),100k,pct_mll,consistency
2,4,13420.039999999979,12078.035999999982,18228.0,-6149.964000000018,2,ATR k=1 (原主口径),100k,pct_mll,consistency
3,6,20130.05999999997,18117.053999999975,27342.0,-9224.946000000025,3,ATR k=1 (原主口径),100k,pct_mll,consistency
5,10,33550.09999999995,30195.089999999953,45570.0,-15374.910000000047,5,ATR k=1 (原主口径),100k,pct_mll,consistency
10,20,67100.1999999999,60390.179999999906,91140.0,-30749.820000000094,10,ATR k=1 (原主口径),100k,pct_mll,consistency
